Region,Country,City,Month,Day,Year,AvgTemperature,fecha,tmin,tmax,prcp,wspd,pres,latitud,longitud
Europe,Spain,Barcelona,01,01,2020,52.8,2020-01-01,0.0,12.0,0.0,4.2,1032.1,41.3828939,2.1774322
Europe,Spain,Barcelona,01,02,2020,49.7,2020-01-02,1.0,13.0,0.0,5.2,1031.8,41.3828939,2.1774322
Europe,Spain,Barcelona,01,03,2020,50.8,2020-01-03,2.0,11.0,0.0,4.7,1030.9,41.3828939,2.1774322
Europe,Spain,Barcelona,01,04,2020,50.2,2020-01-04,0.0,14.0,0.0,4.8,1031.4,41.3828939,2.1774322
Europe,Spain,Barcelona,01,05,2020,50.7,2020-01-05,1.0,14.0,0.0,5.6,1028.6,41.3828939,2.1774322
Europe,Spain,Barcelona,01,06,2020,46.6,2020-01-06,0.0,15.0,0.0,4.8,1029.4,41.3828939,2.1774322
Europe,Spain,Barcelona,01,07,2020,42.4,2020-01-07,1.0,15.0,0.0,3.0,1029.8,41.3828939,2.1774322
Europe,Spain,Barcelona,01,08,2020,42.9,2020-01-08,2.0,16.0,0.0,4.6,1030.2,41.3828939,2.1774322
Europe,Spain,Barcelona,01,09,2020,39.9,2020-01-09,2.0,15.0,4.9,5.4,1027.5,41.3828939,2.1774322
Europe,Spain,Barcelona,01,10,2020,37.6,2020-01-10,4.0,12.0,16.2,6.9,1025.7,41.3828939,2.1774322
Europe,Spain,Barcelona,01,11,2020,40.2,2020-01-11,4.2,12.3,0.0,16.8,1030.1,41.3828939,2.1774322
Europe,Spain,Barcelona,01,12,2020,41.1,2020-01-12,-1.0,14.0,0.0,4.1,1029.9,41.3828939,2.1774322
Europe,Spain,Barcelona,01,13,2020,49.0,2020-01-13,2.9,12.9,0.0,15.7,1025.0,41.3828939,2.1774322
Europe,Spain,Barcelona,01,14,2020,51.1,2020-01-14,-1.0,15.0,0.0,6.1,1022.0,41.3828939,2.1774322
Europe,Spain,Barcelona,01,15,2020,51.4,2020-01-15,1.0,15.0,0.0,5.2,1023.6,41.3828939,2.1774322
Europe,Spain,Barcelona,01,16,2020,49.1,2020-01-16,1.0,16.0,0.0,5.2,1027.0,41.3828939,2.1774322
Europe,Spain,Barcelona,01,17,2020,52.0,2020-01-17,5.0,17.0,0.0,13.4,1025.3,41.3828939,2.1774322
Europe,Spain,Barcelona,01,18,2020,52.1,2020-01-18,3.0,15.0,0.2,5.2,1026.3,41.3828939,2.1774322
Europe,Spain,Barcelona,01,19,2020,50.7,2020-01-19,7.0,12.0,0.0,11.5,1020.3,41.3828939,2.1774322
Europe,Spain,Barcelona,01,20,2020,53.1,2020-01-20,8.0,11.0,54.1,22.8,1025.0,41.3828939,2.1774322
Europe,Spain,Barcelona,01,21,2020,49.2,2020-01-21,1.0,11.0,87.9,24.9,1024.0,41.3828939,2.1774322
Europe,Spain,Barcelona,01,22,2020,48.5,2020-01-22,0.0,14.0,10.4,26.4,1020.7,41.3828939,2.1774322
Europe,Spain,Barcelona,01,23,2020,49.1,2020-01-23,4.0,15.0,0.1,8.3,1020.4,41.3828939,2.1774322
Europe,Spain,Barcelona,01,24,2020,51.9,2020-01-24,3.0,16.0,0.0,4.9,1021.4,41.3828939,2.1774322
Europe,Spain,Barcelona,01,25,2020,48.3,2020-01-25,5.0,14.0,0.0,3.2,1020.0,41.3828939,2.1774322
Europe,Spain,Barcelona,01,26,2020,45.6,2020-01-26,5.0,16.0,0.0,4.8,1019.3,41.3828939,2.1774322
Europe,Spain,Barcelona,01,27,2020,43.8,2020-01-27,5.0,14.0,0.0,12.8,1019.7,41.3828939,2.1774322
Europe,Spain,Barcelona,01,28,2020,42.1,2020-01-28,8.0,16.0,0.0,13.6,1017.3,41.3828939,2.1774322
Europe,Spain,Barcelona,01,29,2020,45.2,2020-01-29,6.0,17.0,0.0,4.8,1020.5,41.3828939,2.1774322
Europe,Spain,Barcelona,01,30,2020,50.2,2020-01-30,6.0,19.0,0.0,7.8,1019.8,41.3828939,2.1774322
Europe,Spain,Barcelona,01,31,2020,45.6,2020-01-31,7.0,20.0,0.0,5.2,1020.5,41.3828939,2.1774322
Europe,Spain,Barcelona,02,01,2020,44.0,2020-02-01,8.0,21.0,0.0,8.1,1020.8,41.3828939,2.1774322
Europe,Spain,Barcelona,02,02,2020,44.5,2020-02-02,7.0,22.0,0.0,8.9,1025.3,41.3828939,2.1774322
Europe,Spain,Barcelona,02,03,2020,45.6,2020-02-03,11.0,23.0,0.0,6.2,1025.9,41.3828939,2.1774322
Europe,Spain,Barcelona,02,04,2020,46.4,2020-02-04,10.0,21.0,0.0,11.3,1022.1,41.3828939,2.1774322
Europe,Spain,Barcelona,02,05,2020,55.2,2020-02-05,3.0,17.0,0.0,7.8,1027.8,41.3828939,2.1774322
Europe,Spain,Barcelona,02,06,2020,55.5,2020-02-06,2.0,17.0,0.0,7.2,1026.7,41.3828939,2.1774322
Europe,Spain,Barcelona,02,07,2020,51.0,2020-02-07,4.0,14.0,0.0,4.3,1024.6,41.3828939,2.1774322
Europe,Spain,Barcelona,02,08,2020,48.3,2020-02-08,5.0,14.0,0.0,8.7,1024.4,41.3828939,2.1774322
Europe,Spain,Barcelona,02,09,2020,47.8,2020-02-09,3.0,17.0,0.0,9.5,1027.9,41.3828939,2.1774322
